hour,temp,illuminance,violations
3312,-546.0807431599764,688281.2061098958,12
3312,-723.6163036298552,599344.7101271194,12
3312,387.9484719028687,645155.5487417065,27
3312,563.3273732153684,672910.7159342609,15
3312,400.14333918774076,574411.8671877679,16
3312,153.87761285268758,585386.2117432113,20
3312,-357.1613925372145,699247.6712265346,19
3312,-367.1014516677951,592114.9466787489,8
3312,-375.21860278305456,576820.2354559825,5
3312,-735.3167594810762,721257.8092733005,45
3312,203.8000254159846,594382.6542445794,17
3312,413.6889653920988,626443.0839218256,27
3312,-85.6611418303776,708226.0048818528,24
3312,-602.5382083270538,674682.8624826081,16
3312,-593.7632583525266,656163.7806629622,14
3312,-937.9668073540522,608711.9418652066,3
3312,-1047.4652790497958,657956.0505748369,31
3312,-1195.301954270815,692217.9407121706,20
3312,-1286.2405574596664,645234.9619108101,1
3312,-1336.773460090874,667379.32443438,14
3312,-1660.3788197198196,695567.4903273247,5
3312,-1286.5290168690397,756278.401976738,11
3312,-2027.1294969826633,791323.2254768208,36
3312,-2361.008229050247,788199.9466276173,43
3312,-3082.5019850067406,720477.4993784603,24
3312,-3388.685352113345,742450.7936536876,40
3312,-3870.7922324686933,805663.6739181491,31
3312,-4150.442640793009,847503.6769137053,6
3312,-4086.2332768708634,952579.0980218212,20
3312,-4310.3245174120775,896634.4167752458,29
3312,-4727.365131309862,973110.3704563979,52
3312,-5471.8843826658895,953418.9054629935,13
3312,-6098.085065156681,832290.6493524379,9
3312,-6404.898237009608,910277.7455596766,14
3312,-7011.411293631459,857493.9708448749,26
3312,-6576.277084009587,893937.9650332469,18
3312,-5785.881450445203,870156.5243870666,11
3312,-4525.233974511949,961695.8758903109,26
3312,-3324.5598529400236,1022762.160526094,50
3312,-4185.005038611105,1111775.795100452,59
3312,-4533.048074360826,1132464.354247637,38
3312,-4690.731997892784,1066339.5058977036,24
3312,-3722.375962039178,1104146.9904424013,24
3312,-2583.060958087712,960719.4400286935,12
3312,-1836.2430198613501,970134.9281413523,44
3312,-1991.1377046749415,1089532.5472715963,37
3312,-2184.471920810253,1026121.1041563117,34
3312,-2535.920306300447,1127165.136904722,38
3312,-2925.9661606042755,1172367.8100784267,40
3312,-1614.376021528484,972399.5879198106,12
3312,-278.29403306801004,963410.9392827853,28
3312,-304.7304729365889,899590.0045675209,41
3312,-155.97396174151805,1388363.07417358,4
3312,283.58284894363567,1005745.9116155778,28
3312,90.17943846670042,1234567.6548922434,52
3312,-199.07569111222088,990593.2428039807,23
3312,-1083.0017850899624,1054653.4922146911,30
3312,-1427.1831649460576,1392328.6851106489,29
3312,-1398.86687763685,1095268.5253399056,37
3312,-439.49965452683216,1277644.898999869,50
3312,220.31794763991945,1061602.866848193,35
3312,345.82733585295534,1084933.4552798185,20
3312,17.817307739373195,1411746.0956583314,20
3312,-1066.3493041201361,1393779.0456028695,48
3312,-1805.7494635774035,1371172.7324503348,25
3312,-2140.0591248003084,1431912.4432834103,51
3312,-2369.811458471237,1508109.645793018,46
3312,-2240.4836318663947,1515896.1655425094,35
3312,-1258.6290561796643,1456322.2716136014,10
3312,286.26928192735875,1008246.6977877575,18
3312,277.3899866162731,944569.6419582574,27
3312,827.7437980369708,1571265.7006946474,16
3312,672.7608957912286,1456094.5479405334,79
3312,-109.1231701906536,1533128.4838905092,30
3312,-97.47775720272728,1503742.830909372,36
3312,484.12231064056874,1031436.7977717848,31
3312,821.4565203051151,1248524.8668357204,104
3312,879.5644698917611,1232238.9892496162,14
3312,651.7918277650214,961997.2302842557,27
3312,389.3410062087482,1497913.9565483115,38
3312,682.7590748474148,1395426.4499770578,64
3112,1224.346778129538,1237666.6233063964,33
3312,1208.0102987387636,1624668.6865884804,37
3312,716.7076662559729,1398797.37289561,19
3276,84.04123451119827,1242672.1620781785,15
3312,351.8179719431381,1784633.6836644555,17
3312,584.357421983904,1257556.9122200706,25
3312,1200.4606011799901,1466079.1920276864,20
3312,719.5088555900998,1342528.5659301097,13
3312,613.9309653567693,1480714.8591715083,17
3312,9.499726879500985,1526837.2471130567,6
3312,-435.8198511119851,1669832.7722668233,23
3312,-333.4595620794832,1012042.0131877828,2
3312,-473.04836161190894,1320652.8617434734,30
3312,-85.30106049828055,1494431.6382575198,21
3312,493.9093458110946,1401790.802388968,13
