date,hour,temp,illuminance,violations
2012-01-01,0,-1.539547217702946,1585.1452609759665,0.0
2012-01-01,1,-1.9049061183815885,1692.3309697090554,0.0
2012-01-01,2,-1.7572035147202936,1628.8198331584124,0.0
2012-01-01,3,-1.652184936026184,1666.488499083028,0.0
2012-01-01,4,-1.8336301920719034,1635.8188612317717,0.08333333333333333
2012-01-01,5,-1.8143852857787175,1646.2574557276014,0.0
2012-01-01,6,-1.629668442781208,1702.744582437612,0.0
2012-01-01,7,-1.4190232197086619,1635.1478651977316,0.0
2012-01-01,8,-1.32110124085778,1662.5775339079948,0.0
2012-01-01,9,-1.21224840816158,2092.2227947429196,0.0
2012-01-01,10,-1.47900532933986,3568.2082685710743,0.0
2012-01-01,11,-0.7627660920197358,6629.500319996828,0.08333333333333333
2012-01-01,12,-0.3103423712306364,7054.196424309551,0.0
2012-01-01,13,-0.1191377497126183,5239.538049069589,0.08333333333333333
2012-01-01,14,-0.3521406899636097,3031.232643570797,0.0
2012-01-01,15,-0.43068229963371557,1894.8763840290019,0.16666666666666666
2012-01-01,16,-0.6007362435490492,1670.6353057878741,0.3333333333333333
2012-01-01,17,-1.3007258331643203,1564.2813697117751,0.0
2012-01-01,18,-2.7644006473351066,1596.8982638728157,0.0
2012-01-01,19,-3.4970771644620355,1604.8519911330684,0.0
2012-01-01,20,-3.998641831242034,1607.8565618711175,0.0
2012-01-01,21,-4.547537732291553,1536.9685021848227,0.0
2012-01-01,22,-4.551406024711341,1686.9847224961477,0.0
2012-01-01,23,-4.70823001181822,1723.18471304811,0.0
2012-01-02,0,-4.595159680710954,1643.444562848845,0.08333333333333333
2012-01-02,1,-3.723592487576367,1579.4784722581492,0.0
2012-01-02,2,-3.594367155112503,1623.0612603178477,0.0
2012-01-02,3,-3.7646173779858985,1659.9087082399958,0.0
2012-01-02,4,-3.7127709433856144,1697.7770302682393,0.0
2012-01-02,5,-3.763634536773997,1583.9987055025924,0.0
2012-01-02,6,-3.5902728136935127,1611.8922319657368,0.0
2012-01-02,7,-3.220525887681531,1660.0746984662082,0.0
2012-01-02,8,-2.867215300321948,1670.0769169178218,0.0
2012-01-02,9,-2.6810013325433286,2489.089427953542,0.0
2012-01-02,10,-2.5057901038025956,3898.41254695058,0.08333333333333333
2012-01-02,11,-2.1662842652060506,3971.515448830303,0.25
2012-01-02,12,-1.8951951861629732,3836.875622940508,0.08333333333333333
2012-01-02,13,-1.55169974426513,3618.00188749616,0.0
2012-01-02,14,-1.577862895608492,2435.304083001662,0.25
2012-01-02,15,-1.7823946707513298,1728.8842951147774,0.0
2012-01-02,16,-2.404218525745811,1700.7636249571249,0.0
2012-01-02,17,-2.420604007370277,1578.9415730803748,0.0
2012-01-02,18,-1.9975610412248628,1698.5170462528179,0.0
2012-01-02,19,-1.6861927450902698,1643.3899347177673,0.0
2012-01-02,20,-1.6102427171976892,1658.0061234319658,0.08333333333333333
2012-01-02,21,-1.4230384890749148,1606.382325844511,0.08333333333333333
2012-01-02,22,-1.0699176710220826,1697.8052080390191,0.0
2012-01-02,23,-0.697199057513214,1653.7907751967332,0.08333333333333333
2012-01-03,0,-0.2221786719046616,1581.6523958030205,0.16666666666666666
2012-01-03,1,0.0695696513149357,1631.467649515025,0.0
2012-01-03,2,0.20823506563524966,1804.9190812013,0.0
2012-01-03,3,0.378581565286247,1891.6173545505387,0.0
2012-01-03,4,0.5404343334438065,1949.3516833939966,0.0
2012-01-03,5,0.5460446830624469,1973.7319137906218,0.0
2012-01-03,6,0.6567664613854729,1900.055472415641,0.0
2012-01-03,7,1.021737401325287,2052.5398211392794,0.0
2012-01-03,8,1.4048307580365516,2055.773806106839,0.0
2012-01-03,9,1.4451294874911425,2510.9638190572373,0.16666666666666666
2012-01-03,10,1.7049516677767105,3527.4201561701534,0.4166666666666667
2012-01-03,11,1.9686749315685226,3889.674567487907,0.08333333333333333
2012-01-03,12,2.3521052290985818,4281.443380994883,0.0
2012-01-03,13,2.493398355571109,3527.16522293106,0.0
2012-01-03,14,2.3270943493841783,2727.5511649658856,0.25
2012-01-03,15,2.3520814317680925,2059.482711313036,0.25
2012-01-03,16,2.1529039866049335,1751.2029973707765,0.25
2012-01-03,17,2.0549518078587314,1801.8252713788797,0.08333333333333333
2012-01-03,18,1.734655235365271,1723.8098866269875,0.0
2012-01-03,19,1.9245105129513675,1712.657602980359,0.3333333333333333
2012-01-03,20,1.6589372880047024,2199.253069865054,0.0
2012-01-03,21,1.2915519806784073,1750.5070689585439,0.0
2012-01-03,22,1.0277023972299881,1679.1663116714117,0.08333333333333333
2012-01-03,23,1.236369416301989,1779.7299854537898,0.0
2012-01-04,0,1.0182939330335081,1775.634642248329,0.0
2012-01-04,1,0.16977445145937733,1724.0941309436257,0.0
2012-01-04,2,0.30867565059891783,1758.5641306805203,0.0
2012-01-04,3,0.5869115258951566,1668.8335774389172,0.0
2012-01-04,4,0.31974575608161393,1682.4212471282078,0.0
2012-01-04,5,0.1306915592626872,2011.2356149551833,0.0
2012-01-04,6,0.29808258973944207,2096.0071883754617,0.0
2012-01-04,7,0.3970084062934018,1967.3363382367327,0.0
2012-01-04,8,0.6089500333625081,2027.56791441769,0.16666666666666666
2012-01-04,9,1.3595085053265752,2490.3307125786605,0.08333333333333333
2012-01-04,10,1.8678195599489216,3867.750591272164,0.16666666666666666
2012-01-04,11,2.629646093539163,4880.7862693624875,0.16666666666666666
2012-01-04,12,3.1629325083466315,5156.156746977697,0.16666666666666666
2012-01-04,13,3.277586373973945,4040.7506296192273,0.08333333333333333
